state_fips,state_abbr,zcta,cd
01,AL,35613,5
01,AL,35614,5
01,AL,35615,5
01,AL,35616,4
01,AL,35618,4
01,AL,35619,4
01,AL,35619,5
01,AL,35620,5
01,AL,35621,4
01,AL,35621,5
01,AL,35622,4
01,AL,35622,5
01,AL,35630,5
01,AL,35633,5
01,AL,35634,5
01,AL,35640,5
01,AL,35643,4
01,AL,35645,5
01,AL,35646,4
01,AL,35647,5
01,AL,35648,5
01,AL,35649,5
01,AL,35650,4
01,AL,35651,4
01,AL,35652,5
01,AL,35653,4
01,AL,35654,4
01,AL,35660,4
01,AL,35661,4
01,AL,35670,5
01,AL,35671,5
01,AL,35672,4
01,AL,35673,4
01,AL,35673,5
01,AL,35674,4
01,AL,35677,5
01,AL,35739,5
01,AL,35740,5
01,AL,35741,5
01,AL,35744,5
01,AL,35745,5
01,AL,35746,5
01,AL,35747,4
01,AL,35748,5
01,AL,35749,5
01,AL,35750,5
01,AL,35751,5
01,AL,35752,5
01,AL,35754,4
01,AL,35754,5
01,AL,35755,4
01,AL,35755,5
01,AL,35756,5
01,AL,35757,5
01,AL,35758,5
01,AL,35759,5
01,AL,35760,4
01,AL,35760,5
01,AL,35761,5
01,AL,35763,5
01,AL,35764,5
01,AL,35765,4
01,AL,35765,5
01,AL,35766,5
01,AL,35768,5
01,AL,35769,4
01,AL,35769,5
01,AL,35771,4
01,AL,35771,5
01,AL,35772,5
01,AL,35773,5
01,AL,35774,5
01,AL,35775,5
01,AL,35776,4
01,AL,35776,5
01,AL,35801,5
01,AL,35802,5
01,AL,35803,5
01,AL,35805,5
01,AL,35806,5
01,AL,35808,5
01,AL,35810,5
01,AL,35811,5
01,AL,35816,5
01,AL,35824,5
01,AL,35896,5
01,AL,35901,3
01,AL,35901,4
01,AL,35903,3
01,AL,35903,4
01,AL,35904,4
01,AL,35905,3
01,AL,35905,4
01,AL,35906,4
01,AL,35907,4
01,AL,35950,4
01,AL,35951,4
01,AL,35952,4
01,AL,35952,6
01,AL,35953,3
01,AL,35954,4
01,AL,35956,4
01,AL,35957,4
01,AL,35958,5
01,AL,35959,3
01,AL,35960,3
01,AL,35961,3
01,AL,35961,4
01,AL,35962,4
01,AL,35963,4
01,AL,35966,4
01,AL,35966,5
01,AL,35967,3
01,AL,35967,4
01,AL,35968,4
01,AL,35971,4
01,AL,35972,3
01,AL,35972,4
01,AL,35973,3
01,AL,35973,4
01,AL,35974,4
01,AL,35975,4
01,AL,35976,4
01,AL,35978,4
01,AL,35978,5
01,AL,35979,4
01,AL,35979,5
01,AL,35980,4
01,AL,35980,6
01,AL,35981,4
01,AL,35983,3
01,AL,35984,4
01,AL,35986,4
01,AL,35987,3
01,AL,35988,4
01,AL,35989,4
01,AL,35990,4
01,AL,36003,2
01,AL,36005,2
01,AL,36006,2
01,AL,36006,6
01,AL,36009,2
01,AL,36010,2
01,AL,36013,3
01,AL,36016,2
01,AL,36017,2
01,AL,36020,2
01,AL,36022,2
01,AL,36024,2
01,AL,36025,2
01,AL,36026,2
01,AL,36026,6
01,AL,36027,2
01,AL,36027,3
01,AL,36028,2
01,AL,36029,2
01,AL,36029,3
01,AL,36030,2
01,AL,36031,3
01,AL,36032,2
01,AL,36032,7
01,AL,36033,1
01,AL,36033,2
01,AL,36034,2
01,AL,36035,2
01,AL,36036,2
01,AL,36037,2
01,AL,36038,2
01,AL,36039,3
01,AL,36040,7
01,AL,36041,2
01,AL,36042,2
01,AL,36043,2
01,AL,36043,7
01,AL,36046,2
01,AL,36047,2
01,AL,36047,7
01,AL,36048,2
01,AL,36049,2
01,AL,36051,2
01,AL,36051,6
01,AL,36052,2
01,AL,36052,3
01,AL,36053,2
01,AL,36054,2
01,AL,36064,2
01,AL,36064,3
01,AL,36066,2
01,AL,36067,2
01,AL,36069,2
01,AL,36071,2
01,AL,36075,3
01,AL,36078,2
01,AL,36078,3
01,AL,36079,2
01,AL,36080,2
01,AL,36080,6
01,AL,36081,2
01,AL,36082,2
01,AL,36083,3
01,AL,36088,3
01,AL,36089,2
01,AL,36089,3
01,AL,36091,2
01,AL,36091,6
01,AL,36092,2
01,AL,36093,2
01,AL,36104,2
01,AL,36104,7
01,AL,36105,2
01,AL,36105,7
01,AL,36106,2
01,AL,36106,7
01,AL,36107,2
01,AL,36108,2
01,AL,36108,7
01,AL,36109,2
01,AL,36110,2
01,AL,36111,2
01,AL,36112,2
01,AL,36113,2
01,AL,36113,7
01,AL,36115,2
01,AL,36116,2
01,AL,36116,3
01,AL,36116,7
01,AL,36117,2
01,AL,36117,3
01,AL,36201,3
01,AL,36203,3
01,AL,36205,3
01,AL,36206,3
01,AL,36207,3
01,AL,36250,3
01,AL,36251,3
01,AL,36255,3
01,AL,36256,3
01,AL,36258,3
01,AL,36260,3
01,AL,36262,3
01,AL,36263,3
01,AL,36264,3
01,AL,36265,3
01,AL,36266,3
01,AL,36267,3
01,AL,36268,3
01,AL,36269,3
01,AL,36271,3
01,AL,36272,3
01,AL,36272,4
01,AL,36273,3
01,AL,36274,3
01,AL,36276,3
01,AL,36277,3
01,AL,36278,3
01,AL,36279,3
01,AL,36280,3
01,AL,36301,2
01,AL,36303,2
01,AL,36305,2
01,AL,36310,2
01,AL,36311,2
01,AL,36312,2
01,AL,36313,2
01,AL,36314,2
01,AL,36316,2
01,AL,36317,2
01,AL,36318,2
01,AL,36319,2
01,AL,36320,2
01,AL,36321,2
01,AL,36322,2
01,AL,36323,2
01,AL,36330,2
01,AL,36340,2
01,AL,36343,2
01,AL,36344,2
01,AL,36345,2
01,AL,36346,2
01,AL,36350,2
01,AL,36351,2
01,AL,36352,2
01,AL,36353,2
01,AL,36360,2
01,AL,36362,2
01,AL,36370,2
01,AL,36371,2
01,AL,36373,2
01,AL,36374,2
01,AL,36375,2
01,AL,36376,2
01,AL,36401,1
01,AL,36401,2
01,AL,36420,1
01,AL,36420,2
01,AL,36421,2
01,AL,36425,1
01,AL,36426,1
01,AL,36426,2
01,AL,36432,1
01,AL,36432,2
01,AL,36435,7
01,AL,36436,7
01,AL,36439,1
01,AL,36441,1
01,AL,36442,2
01,AL,36444,1
01,AL,36445,1
01,AL,36446,7
01,AL,36451,1
01,AL,36451,7
01,AL,36453,2
01,AL,36454,2
01,AL,36455,2
01,AL,36456,2
01,AL,36460,1
01,AL,36460,2
01,AL,36467,2
01,AL,36470,1
01,AL,36471,1
01,AL,36471,2
01,AL,36473,2
01,AL,36474,2
01,AL,36475,1
01,AL,36475,2
01,AL,36476,2
01,AL,36477,2
01,AL,36480,1
01,AL,36481,1
01,AL,36481,7
01,AL,36482,1
01,AL,36482,7
01,AL,36483,1
01,AL,36483,2
01,AL,36502,1
01,AL,36502,2
01,AL,36505,1
01,AL,36507,1
01,AL,36509,1
01,AL,36511,1
01,AL,36512,1
01,AL,36513,1
01,AL,36518,1
01,AL,36521,1
01,AL,36522,1
01,AL,36523,1
01,AL,36524,7
01,AL,36525,1
01,AL,36526,1
01,AL,36527,1
01,AL,36528,1
01,AL,36529,1
01,AL,36530,1
01,AL,36532,1
01,AL,36535,1
01,AL,36538,1
01,AL,36539,1
01,AL,36540,7
01,AL,36541,1
01,AL,36542,1
01,AL,36543,1
01,AL,36544,1
01,AL,36545,1
01,AL,36545,7
01,AL,36548,1
01,AL,36549,1
01,AL,36550,1
01,AL,36551,1
01,AL,36553,1
01,AL,36555,1
01,AL,36556,1
01,AL,36558,1
01,AL,36558,7
01,AL,36559,1
01,AL,36560,1
01,AL,36561,1
01,AL,36562,1
01,AL,36564,1
01,AL,36567,1
01,AL,36568,1
01,AL,36569,1
01,AL,36571,1
01,AL,36572,1
01,AL,36574,1
01,AL,36575,1
01,AL,36576,1
01,AL,36578,1
01,AL,36579,1
01,AL,36580,1
01,AL,36581,1
01,AL,36582,1
01,AL,36583,1
01,AL,36584,1
01,AL,36585,1
01,AL,36587,1
01,AL,36590,1
01,AL,36602,1
01,AL,36603,1
01,AL,36604,1
01,AL,36605,1
01,AL,36606,1
01,AL,36607,1
01,AL,36608,1
01,AL,36609,1
01,AL,36610,1
01,AL,36611,1
01,AL,36612,1
01,AL,36613,1
01,AL,36615,1
01,AL,36616,1
01,AL,36617,1
01,AL,36618,1
01,AL,36619,1
01,AL,36688,1
01,AL,36693,1
01,AL,36695,1
01,AL,36701,7
01,AL,36703,2
01,AL,36703,7
01,AL,36720,7
01,AL,36722,7
01,AL,36723,7
01,AL,36726,7
01,AL,36727,7
01,AL,36728,7
01,AL,36732,7
01,AL,36736,7
01,AL,36738,7
01,AL,36740,7
01,AL,36742,7
01,AL,36744,7
01,AL,36748,7
01,AL,36749,2
01,AL,36749,7
01,AL,36750,6
01,AL,36751,1
01,AL,36751,7
01,AL,36752,7
01,AL,36753,1
01,AL,36753,7
01,AL,36754,7
01,AL,36756,7
01,AL,36758,2
01,AL,36758,6
01,AL,36758,7
01,AL,36759,7
01,AL,36761,7
01,AL,36763,7
01,AL,36765,7
01,AL,36766,7
01,AL,36767,7
01,AL,36768,1
01,AL,36768,7
01,AL,36769,7
01,AL,36773,7
01,AL,36775,7
01,AL,36776,7
01,AL,36782,7
01,AL,36783,7
01,AL,36784,7
01,AL,36785,7
01,AL,36786,7
01,AL,36790,6
01,AL,36792,6
01,AL,36793,6
01,AL,36793,7
01,AL,36801,3
01,AL,36804,3
01,AL,36830,3
01,AL,36832,3
01,AL,36849,3
01,AL,36850,3
01,AL,36852,3
01,AL,36853,3
01,AL,36854,3
01,AL,36855,3
01,AL,36856,3
01,AL,36858,3
01,AL,36859,3
01,AL,36860,2
01,AL,36860,3
01,AL,36861,3
01,AL,36862,3
01,AL,36863,3
01,AL,36865,3
01,AL,36866,3
01,AL,36867,3
01,AL,36869,3
01,AL,36870,3
01,AL,36871,3
01,AL,36874,3
01,AL,36875,3
01,AL,36877,3
01,AL,36879,3
01,AL,36901,7
01,AL,36904,7
01,AL,36907,7
01,AL,36908,7
01,AL,36910,7
01,AL,36912,7
01,AL,36913,7
01,AL,36915,7
01,AL,36916,7
01,AL,36919,1
01,AL,36919,7
01,AL,36921,7
01,AL,36922,7
01,AL,36925,7
01,AL,38852,4
02,AK,99501,0
02,AK,99502,0
02,AK,99503,0
02,AK,99504,0
02,AK,99505,0
02,AK,99506,0
02,AK,99507,0
02,AK,99508,0
02,AK,99510,0
02,AK,99513,0
02,AK,99515,0
02,AK,99516,0
02,AK,99517,0
02,AK,99518,0
02,AK,99519,0
02,AK,99540,0
02,AK,99546,0
02,AK,99547,0
02,AK,99548,0
02,AK,99549,0
02,AK,99550,0
02,AK,99551,0
02,AK,99552,0
02,AK,99553,0
02,AK,99554,0
02,AK,99555,0
02,AK,99556,0
02,AK,99557,0
02,AK,99558,0
02,AK,99559,0
02,AK,99561,0
02,AK,99563,0
02,AK,99564,0
02,AK,99565,0
02,AK,99566,0
02,AK,99567,0
02,AK,99568,0
02,AK,99569,0
02,AK,99571,0
02,AK,99572,0
02,AK,99573,0
02,AK,99574,0
02,AK,99575,0
02,AK,99576,0
02,AK,99577,0
02,AK,99578,0
02,AK,99579,0
02,AK,99580,0
02,AK,99581,0
02,AK,99583,0
02,AK,99585,0
02,AK,99586,0
02,AK,99587,0
02,AK,99588,0
02,AK,99589,0
02,AK,99590,0
02,AK,99591,0
02,AK,99602,0
02,AK,99603,0
02,AK,99604,0
02,AK,99605,0
02,AK,99606,0
02,AK,99607,0
02,AK,99609,0
02,AK,99610,0
02,AK,99611,0
02,AK,99612,0
02,AK,99613,0
02,AK,99614,0
02,AK,99615,0
02,AK,99620,0
02,AK,99621,0
02,AK,99622,0
02,AK,99624,0
02,AK,99625,0
02,AK,99626,0
02,AK,99627,0
02,AK,99628,0
02,AK,99630,0
02,AK,99631,0
02,AK,99632,0
02,AK,99633,0
02,AK,99634,0
02,AK,99636,0
02,AK,99637,0
02,AK,99638,0
02,AK,99639,0
02,AK,99640,0
02,AK,99641,0
02,AK,99643,0
02,AK,99644,0
02,AK,99645,0
02,AK,99647,0
02,AK,99648,0
02,AK,99649,0
02,AK,99650,0
02,AK,99651,0
02,AK,99652,0
02,AK,99653,0
02,AK,99654,0
02,AK,99655,0
02,AK,99656,0
02,AK,99657,0
02,AK,99658,0
02,AK,99659,0
02,AK,99660,0
02,AK,99661,0
02,AK,99662,0
02,AK,99663,0
02,AK,99664,0
02,AK,99665,0
02,AK,99666,0
02,AK,99667,0
02,AK,99668,0
02,AK,99669,0
02,AK,99670,0
02,AK,99671,0
02,AK,99672,0
02,AK,99674,0
02,AK,99676,0
02,AK,99677,0
02,AK,99678,0
02,AK,99679,0
02,AK,99680,0
02,AK,99681,0
02,AK,99682,0
02,AK,99683,0
02,AK,99684,0
02,AK,99685,0
02,AK,99686,0
02,AK,99688,0
02,AK,99689,0
02,AK,99690,0
02,AK,99691,0
02,AK,99692,0
02,AK,99693,0
02,AK,99694,0
02,AK,99695,0
02,AK,99701,0
02,AK,99702,0
02,AK,99703,0
02,AK,99704,0
02,AK,99705,0
02,AK,99706,0
02,AK,99709,0
02,AK,99712,0
02,AK,99714,0
02,AK,99720,0
